Width,Curve Length,Depth
50,61.582916,15.8798
50,61.600407,15.893448
50,61.617897,15.907089
50,61.635388,15.920724
50,61.652878,15.934352
50,61.670369,15.947974
50,61.687859,15.961588
50,61.705349,15.975197
50,61.72284,15.988798
50,61.74033,16.002393
50,61.757821,16.015982
50,61.775311,16.029563
50,61.792802,16.043139
50,61.810292,16.056707
50,61.827783,16.07027
50,61.845273,16.083826
50,61.862764,16.097375
50,61.880254,16.110918
50,61.897745,16.124454
50,61.915235,16.137984
50,61.932726,16.151508
50,61.950217,16.165025
50,61.967707,16.178535
50,61.985198,16.19204
50,62.002688,16.205538
50,62.020179,16.21903
50,62.037669,16.232515
50,62.05516,16.245994
50,62.07265,16.259467
50,62.090141,16.272933
50,62.107631,16.286394
50,62.125122,16.299848
50,62.142612,16.313296
50,62.160103,16.326737
50,62.177593,16.340173
50,62.195084,16.353602
50,62.212575,16.367025
50,62.230065,16.380442
50,62.247556,16.393853
50,62.265046,16.407257
50,62.282537,16.420656
50,62.300027,16.434048
50,62.317518,16.447435
50,62.335009,16.460815
50,62.352499,16.474189
50,62.36999,16.487558
50,62.38748,16.50092
50,62.404971,16.514276
50,62.422461,16.527626
50,62.439952,16.540971
50,62.457443,16.554309
50,62.474933,16.567641
50,62.492424,16.580968
50,62.509914,16.594288
50,62.527405,16.607603
50,62.544896,16.620912
50,62.562386,16.634215
50,62.579877,16.647512
50,62.597367,16.660803
50,62.614858,16.674088
